Mesiac;Oddelenie;Rozpočet EUR;Skutočnosť EUR
2026-01;Financie;18000,00;17350,00
2026-01;IT;32000,00;33850,00
2026-01;Marketing;22000,00;21400,00
2026-01;Obchod;27000,00;26550,00
2026-01;Personalistika;14000,00;13650,00
2026-02;Financie;18000,00;18120,00
2026-02;IT;30000,00;29400,00
2026-02;Marketing;24000,00;25150,00
2026-02;Obchod;28000,00;27500,00
2026-02;Personalistika;14000,00;14220,00
2026-03;Financie;18500,00;17950,00
2026-03;IT;31000,00;30550,00
2026-03;Marketing;23000,00;22800,00
2026-03;Obchod;29000,00;30100,00
2026-03;Personalistika;14500,00;13980,00
2026-04;Financie;18500,00;19050,00
2026-04;IT;31500,00;31200,00
2026-04;Marketing;25000,00;24600,00
2026-04;Obchod;30000,00;29600,00
2026-04;Personalistika;14500,00;15100,00
