ID faktúry;Dátum faktúry;Zákazník;Kód produktu;Množstvo;Jednotková cena EUR;Sadzba DPH;Dátum splatnosti;Stav
FA-2026-001;2026-01-10;TechNova s.r.o.;P001;2;899,00;0,23;2026-01-24;Uhradená
FA-2026-002;2026-01-18;DataCore s.r.o.;P003;4;289,00;0,23;2026-02-01;Uhradená
FA-2026-003;2026-02-02;MarketPro s.r.o.;P007;6;129,00;0,23;2026-02-16;Uhradená
FA-2026-004;2026-02-15;LogiTrans a.s.;P012;3;149,00;0,23;2026-03-01;Po splatnosti
FA-2026-005;2026-03-01;EduPoint s.r.o.;P005;20;49,90;0,23;2026-03-15;Uhradená
FA-2026-006;2026-03-20;FinServ a.s.;P002;2;1099,00;0,23;2026-04-03;Uhradená
FA-2026-007;2026-04-08;GreenOffice s.r.o.;P015;4;329,00;0,23;2026-04-22;Otvorená
FA-2026-008;2026-05-05;CloudBase s.r.o.;P011;10;109,00;0,23;2026-05-19;Uhradená
FA-2026-009;2026-06-02;NetWorks s.r.o.;P013;5;219,00;0,23;2026-06-16;Otvorená
FA-2026-010;2026-07-11;RetailLab s.r.o.;P004;12;169,00;0,23;2026-07-25;Uhradená
