Kód produktu;Produkt;Kategória;Cena EUR;Sadzba DPH;Množstvo na sklade
P001;Notebook Pro 14;Notebooky;899,00;0,23;45
P002;Firemný notebook 15;Notebooky;1099,00;0,23;28
P003;Monitor 27 QHD;Monitory;289,00;0,23;75
P004;Monitor 24 FHD;Monitory;169,00;0,23;96
P005;Bezdrôtová klávesnica;Príslušenstvo;49,90;0,23;180
P006;Ergonomická myš;Príslušenstvo;39,90;0,23;210
P007;Dokovacia stanica USB-C;Príslušenstvo;129,00;0,23;62
P008;Webkamera 4K;Príslušenstvo;119,00;0,23;54
P009;Kancelársky headset;Príslušenstvo;79,00;0,23;88
P010;SSD 1 TB;Komponenty;94,00;0,23;130
P011;RAM 32 GB;Komponenty;109,00;0,23;115
P012;Router Wi-Fi 6;Sieťové prvky;149,00;0,23;43
P013;24-portový switch;Sieťové prvky;219,00;0,23;31
P014;UPS 1500 VA;Napájanie;249,00;0,23;22
P015;Kancelárska stolička;Kancelária;329,00;0,23;17
